keys,amounts
the,26456
and,17254
a,16255
of,14785
to,11956
in,8760
is,8305
you,6831
your,6450
game,5372
with,5366
an,3484
on,3067
for,3030
as,3002
world,2582
that,2354
from,2268
this,2183
by,2062
new,1733
are,1715
will,1697
it,1554
or,1384
through,1380
all,1378
can,1303
into,1295
adventure,1281
play,1244
up,1221
where,1217
be,1149
has,1099
have,1067
his,1062
action,1049
one,1013
way,977
take,976
their,953
time,929
experience,922
-,914
players,902
out,821
at,817
but,814
set,807
space,782
more,779
explore,753
story,741
puzzle,733
unique,720
strategy,719
fight,710
find,709
about,708
who,706
them,695
own,689
shooter,685
which,678
battle,655
games,651
against,641
get,637
classic,636
most,635
her,630
first,624
life,614
levels,612
rpg,609
only,607
over,601
player,594
its,591
must,580
war,575
control,574
enemies,572
they,562
multiplayer,561
gameplay,560
help,558
build,557
combat,544
now,541
like,536
each,520
arcade,518
different,512
what,511
save,511
back,510
make,509
vr,499
not,497
other,495
use,494
friends,489
puzzles,479
no,469
series,468
weapons,458
evil,457
online,455
platformer,452
mysterious,447
become,446
fun,434
it's,428
been,426
epic,415
journey,414
dark,414
was,413
based,411
while,407
he,406
&amp;,406
3d,401
city,399
challenging,397
survive,395
elements,392
create,390
when,380
before,376
2d,375
fantasy,370
2,367
style,361
two,357
survival,356
just,353
around,353
full,350
discover,350
monsters,349
many,349
features,349
power,347
takes,346
skills,345
across,344
ever,342
fast,338
characters,338
inspired,337
do,334
after,334
solve,332
ancient,332
every,331
there,329
team,321
universe,320
using,316
quest,315
best,311
virtual,310
yourself,309
between,309
planet,308
down,307
battles,306
–,302
original,299
turn-based,298
some,297
tower,295
escape,293
system,291
role,291
simulation,289
level,289
powerful,288
place,288
alien,286
real,284
if,282
free,282
so,279
magic,278
enemy,278
challenge,277
great,276
person,275
earth,274
people,273
old,272
than,271
our,271
featuring,271
join,269
fast-paced,269
mode,268
land,268
reality,267
even,266
how,265
off,264
try,263
lost,257
years,256
race,256
deep,256
need,254
single,252
fighting,252
collect,251
choose,251
music,250
hero,250
horror,249
destroy,249
defeat,249
ultimate,245
home,245
high,245
heroes,245
order,244
she,243
racing,243
open,243
creatures,241
go,239
tactical,238
run,238
last,238
exciting,237
army,236
island,235
worlds,234
never,234
defense,234
physics,233
simulator,232
love,232
exploration,232
simple,231
future,231
command,231
three,230
master,229
dungeon,229
face,228
complete,228
novel,227
mystery,225
together,224
secrets,224
beautiful,223
very,219
steam,219
ship,219
death,219
jump,217
him,217
forces,216
local,214
young,213
4,212
character,211
shoot,207
end,207
year,206
long,206
any,206
3,206
graphics,205
building,205
empire,204
also,204
generated,203
ready,202
hidden,202
then,201
human,201
man,200
little,200
intense,200
come,200
modes,199
modern,198
welcome,197
deadly,197
top,196
lead,195
pc,194
past,194
enjoy,194
both,193
once,192
it’s,192
challenges,191
everything,190
you'll,189
we,188
test,188
learn,188
day,188
huge,187
four,187
search,186
dangerous,186
visual,185
behind,184
travel,182
first-person,182
real-time,181
defend,181
kingdom,180
history,180
environment,179
special,178
sequel,178
school,178
hordes,177
filled,177
sci-fi,176
bring,176
missions,175
retro,174
made,174
goal,174
big,174
being,174
small,173
galaxy,173
well,172
keep,172
art,172
secret,171
turn,170
girl,170
magical,169
arena,169
stop,167
co-op,167
version,166
genre,166
guide,165
such,163
force,163
variety,162
town,162
platform,162
items,162
various,161
want,160
super,160
part,160
available,160
abilities,160
interactive,159
dead,159
zombie,158
indie,158
roguelike,157
strange,156
manage,156
conquer,155
paced,154
light,154
legendary,154
environments,154
party,153
mission,153
mechanics,153
easy,153
again,153
realistic,151
house,151
endless,151
designed,151
within,150
put,150
award-winning,150
rescue,149
massive,149
events,149
traps,148
sandbox,148
enter,148
combines,148
away,148
true,147
start,147
created,147
you're,146
work,146
these,146
powers,146
victory,145
those,145
right,145
i,145
much,144
king,144
vast,142
shooting,142
dynamic,142
star,141
next,141
good,141
comes,141
casual,141
night,140
family,140
skill,139
same,139
robots,139
playing,139
edition,139
dungeons,139
adventures,139
1,139
vive,138
friend,138
base,138
trying,137
resources,137
kill,137
change,137
attack,137
return,136
hell,136
fly,136
die,136
darkness,136
blast,136
strategic,135
robot,135
gaming,135
during,134
card,134
along,134
compete,133
bosses,133
unlock,132
crazy,132
uncover,131
hit,131
brings,131
addictive,131
zombies,130
win,130
craft,130
castle,130
alone,130
without,129
mind,129
main,129
hardcore,129
fully,129
freedom,129
final,129
protect,128
campaign,128
show,127
reach,127
opponents,127
htc,127
head,127
whole,126
things,126
greatest,126
fire,126
weapon,125
highly,125
were,124
see,124
includes,124
developed,124
possible,123
fate,123
controls,123
yet,122
obstacles,121
management,121
immersive,121
short,120
gold,120
don't,120
design,120
black,120
beat,120
military,119
known,119
including,119
ii,118
five,118
another,118
speed,117
red,117
prepare,117
point,117
path,117
left,117
train,116
step,116
living,116
feel,116
colorful,116
allows,116
age,116
live,115
here,115
hard,115
air,115
room,114
pixel,114
entire,114
tale,113
ships,113
monster,113
loot,113
heart,113
hand,112
move,111
legend,111
hunt,111
famous,111
enough,111
top-down,110
popular,110
hope,110
chaos,110
able,110
under,109
taking,109
offers,109
lands,109
destruction,109
boss,109
wild,108
upon,108
match,108
group,108
going,108
dream,108
medieval,107
built,107
video,106
upgrade,106
spells,105
side,105
inside,105
difficult,105
ability,105
waves,104
puts,104
board,104
beyond,104
acclaimed,104
title,103
tactics,103
squad,103
soundtrack,103
score,103
rts,103
procedurally,103
mysteries,103
know,103
follow,103
called,103
multiple,102
car,102
avoid,102
would,101
thrilling,101
second,101
giant,101
era,101
randomly,100
meet,100
may,100
guns,100
fps,100
expansion,100
dragon,100
could,100
tracks,99
sky,99
pilot,99
humanity,99
gun,99
fans,99
unknown,98
crew,98
cars,98
ai,98
technology,97
planets,97
machines,97
embark,97
company,97
century,97
better,97
animals,97
abandoned,97
vehicles,96
played,96
lets,96
glory,96
civilization,96
stunning,95
perfect,95
japanese,95
competitive,95
collection,95
job,94
gravity,94
dodge,94
alive,94
wars,93
something,93
sea,93
packed,93
look,93
god,93
far,93
content,93
armies,93
bullets,92
third,91
role-playing,91
engine,91
drive,91
destiny,91
brutal,91
amazing,91
10,91
solving,90
murder,90
mix,90
hours,90
hands,90
dreams,90
computer,90
truth,89
objects,89
might,89
grab,89
forest,89
ball,89
village,88
treasure,88
pick,88
named,88
let,88
hundreds,88
aliens,88
action-packed,88
think,87
struggle,87
races,87
maps,87
making,87
lot,87
large,87
grow,87
favorite,87
cards,87
call,87
armed,87
units,86
stay,86
stars,86
flying,86
dozens,86
complex,86
&quot;,86
trapped,85
sword,85
quick,85
hostile,85
gamers,85
elite,85
danger,85
cities,85
brave,85
brand,85
us,84
stealth,84
overcome,84
football,84
everyone,84
atmosphere,84
5,84
100,84
world's,83
thousands,83
support,83
several,83
setting,83
needs,83
locations,83
europe,83
early,83
completely,83
blocks,83
advanced,83
too,82
platforming,82
money,82
machine,82
innovative,82
ground,82
difficulty,82
detailed,82
anything,82
you've,81
winning,81
until,81
returns,81
post-apocalyptic,81
give,81
8,81
warrior,80
moves,80
looking,80
fleet,80
choice,80
chapter,80
vs,79
traditional,79
seen,79
ride,79
missing,79
lives,79
global,79
foes,79
focus,79
farm,79
dr,79
days,79
creators,79
cast,79
book,79
visuals,78
twist,78
places,78
map,78
latest,78
franchise,78
earn,78
upgrades,77
total,77
single-player,77
research,77
had,77
food,77
few,77
driven,77
development,77
coming,77
attacks,77
sound,76
science,76
rich,76
playable,76
pirate,76
number,76
mighty,76
makes,76
incredible,76
got,76
gone,76
cold,76
awesome,76
types,75
running,75
rule,75
quests,75
humans,75
found,75
warfare,74
released,74
others,74
nothing,74
key,74
gods,74
fantastic,74
choices,74
blood,74
watch,73
undead,73
saga,73
princess,73
navigate,73
himself,73
flight,73
fighter,73
editor,73
customize,73
color,73
50,73
waiting,72
trade,72
rules,72
revenge,72
restore,72
realm,72
really,72
park,72
moon,72
middle,72
gather,72
futuristic,72
form,72
depths,72
break,72
arsenal,72
ways,71
underground,71
shadow,71
road,71
meets,71
episode,71
distant,71
classics,71
why,70
warriors,70
times,70
s,70
points,70
name,70
grand,70
gain,70
always,70
6,70
you’ll,69
stand,69
stage,69
soldiers,69
since,69
peace,69
parts,69
explosive,69
engage,69
digital,69
demons,69
climb,69
ages,69
unleash,68
pack,68
knight,68
invasion,68
gear,68
galactic,68
driving,68
click,68
children,68
body,68
bit,68
tools,67
surreal,67
reflexes,67
pirates,67
ghost,67
expand,67
course,67
clues,67
brought,67
award,67
soul,66
random,66
progress,66
old-school,66
official,66
memories,66
mankind,66
line,66
leave,66
fresh,66
country,66
core,66
chance,66
30,66
wide,65
water,65
survivors,65
studio,65
souls,65
six,65
sim,65
rise,65
point-and-click,65
pieces,65
frantic,65
father,65
combination,65
bullet,65
aim,65
seven,64
hack,64
getting,64
forgotten,64
exploring,64
energy,64
detective,64
dangers,64
critically,64
access,64
--,64
stages,63
prove,63
lies,63
forever,63
finds,63
finally,63
commander,63
tons,62
thing,62
still,62
spirit,62
solar,62
skies,62
sent,62
release,62
project,62
means,62
lots,62
islands,62
infinite,62
hd,62
goes,62
decide,62
buy,62
brain,62
all-new,62
tells,61
tank,61
storyline,61
spaceship,61
ruins,61
physics-based,61
golden,61
conflict,61
classes,61
action-adventure,61
trading,60
throughout,60
systems,60
sports,60
solo,60
slash,60
seek,60
lord,60
immerse,60
depth,60
capture,60
captain,60
battlefield,60
ago,60
/,60
wizard,59
visit,59
trip,59
treasures,59
sure,59
screen,59
narrative,59
logic,59
fall,59
crime,59
cat,59
begin,59
because,59
bad,59
american,59
agent,59
unravel,58
task,58
sam,58
pvp,58
matches,58
legends,58
landscapes,58
historical,58
following,58
engaging,58
deliver,58
combine,58
broken,58
boy,58
used,57
tales,57
story-driven,57
smash,57
plan,57
ninja,57
interesting,57
instead,57
gives,57
either,57
diverse,57
decisions,57
creative,57
among,57
'em,57
wits,56
that's,56
station,56
side-scrolling,56
scale,56
quickly,56
puzzler,56
north,56
minions,56
mars,56
manager,56
